Product Name,Processor Type,RAM,Storage,Display,Price
"Asus ZenBook 14 UX425EA Intel Core i5 1135G7 11th Gen 14"" FHD WV Laptop","Intel Core i5-13420H (12M Cache, 3.4 GHz up to 4.6 GHz)","8GB DDR4, ", 512GB SSD,"14"" FHD (1920 x 1080)","109,000"
"Acer Aspire 7 A715-51G Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop",Apple M1 chip with 8-core CPU and 7-core GPU,"8GB DDR4, ", 512GB SSD,"Features: 360Hz Display, RGB Keyboard, Type-C","111,500"
"Asus VivoBook 15 X513EP Core i7 11th Gen MX330 2GB Graphics 15.6"" FHD Laptop With Windows 11",Apple M1 chip with 8-core CPU and 7-core GPU,"8GB DDR4 3200MHz, ", 512GB SSD,"13.6"" Liquid Retina display (2560 x 1664)","112,000"
"ASUS VivoBook Pro 15 K3500PA Core i7 11th Gen 15.6"" FHD Laptop","Intel Core i5-12500H (18M Cache, up to 4.50 GHz)","8GB DDR5, ", 512GB SSD,"16"" OLED WQUXGA (3840 X 2400)","113,500"
"ASUS Vivobook 15 X1504VA-NJ263W Core i7 13th Gen 15.6"" FHD Laptop","Intel Core i7-1255U (12M Cache, up to 4.70 GHz)","8GB DDR4 3200MHz , ", 512GB SSD,"14"" WUXGA (1920x1200) IPS","113,500"
"MSI Cyborg 15 A13UC Core i5 13th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop","Intel Core i7-11370H (12M Cache, 3.30 GHz up to 4.80 GHz, with IPU)","8GB DDR5 4800MHz, ", 512GB SSD,"13.6"" Liquid Retina display (2560 x 1664)","113,500"
"Apple MacBook Air 13.3-Inch Retina Display 8-core Apple M1 chip with 8GB RAM, 256GB SSD (MGN63) Space Gray","Intel Core i7-11370H (12M Cache, 3.30 GHz up to 4.80 GHz, with IPU)","16GB DDR4 3200MHz , ", 512GB SSD,"14.0"" 2.8K (2880 x 1800) OLED Touch","112,000"
"Apple MacBook Air 13.3-Inch Retina Display 8-core Apple M1 chip with 8GB RAM, 256GB SSD (MGN93) Silver","Intel Core i7-1165G7 (12M Cache, 2.80 GHz up to 4.70 GHz)","16GB DDR4, ", 512GB SSD,"14"" 2.8K (2880 x 1800) OLED","112,000"
"Lenovo Yoga 6 13ABR8 Ryzen 5 7530U 13.3"" FHD Touch Laptop ","Intel Core i5-1235U (12M Cache, 3.3 GHz up to 4.4 GHz)","16GB DDR5, ", 512GB SSD,"14"" WUXGA (1920x1200) IPS","115,000"
"ASUS TUF Gaming F15 FX507ZC4 Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop","AMD Ryzen 5 7535HS (3.3GHz up to 4.55GHz, 6 cores)","16GB DDR4, ", 512GB SSD,"13.6"" Liquid Retina display (2560 x 1664)","115,900"
"HP ProBook 440 G9 Core i7 12th Gen 14"" FHD Laptop","Intel Core i7-1355U (up to 5.0GHz, 12 MB L3 cache)","8GB RAM, ", 512GB SSD,"14"" WUXGA (1920x1200) OLED","117,500"
"Lenovo IdeaPad Gaming 3i Core i7 11th Gen GTX 1650 4GB Graphics 15.6"" FHD Laptop","Intel Core i7-1355U (up to 5.0GHz, 12 MB L3 cache)","8GB DDR5 4800MHz, ", 512GB SSD,"15.6 Inch, FHD (1920*1080)","118,000"
"Lenovo IdeaPad Gaming 3i Core i7 11th Gen GTX 1650 4GB Graphics 15.6"" FHD Laptop With 3 Years Warranty","Intel Core i7-1165G7 (12M Cache, 2.80 GHz up to 4.70 GHz)","16GB DDR4 3200MHz, ", 512GB NVMe SSD,"15.3"" Liquid Retina display (2880 x 1864)","118,000"
"Asus VivoBook 15 S513EQ Core i7 11th Gen MX350 2GB Graphics 15.6"" FHD OLED Laptop","Intel Core i5-11300H (8M Cache, 3.10 GHz up to 4.40 GHz)","16GB DDR4, ", 512GB SSD,"Features: QHD+, 240Hz Display, Backlit Keyboard","118,000"
